0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
CODIGO,DISTRITO,DEPARTAMENTO,MUNICIPIO,ESTABLECIMIENTO,DIRECCION,TELEFONO,SUPERVISOR,DIRECTOR,NIVEL,SECTOR,AREA,STATUS,MODALIDAD,JORNADA,PLAN,DEPARTAMENTAL
14-01-0020-44,14-001,QUICHE,SANTA CRUZ DEL QUICHE,EOPA,9A AV Y 2A. CALLE ZONA 3,58958012,JOSE OSCAR TIPAZ VELASQUEZ,MARIO CARLOS GIRÓN URIZAR,PRIMARIA DE ADULTOS,OFICIAL,URBANA,ABIERTA,MONOLINGUE,NOCTURNA,DIARIO(REGULAR),QUICHÉ
14-01-0190-44,14-001,QUICHE,SANTA CRUZ DEL QUICHE,CENTRO DE EDUCACION EXTRAESCOLAR -PEAC-,2 AVENIDA 4-01 ZONA 1,49174700,JOSE OSCAR TIPAZ VELASQUEZ,---,PRIMARIA DE ADULTOS,OFICIAL,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,DOBLE,A DISTANCIA,QUICHÉ
14-01-0191-44,14-001,QUICHE,SANTA CRUZ DEL QUICHE,CENTRO DE EDUCACION EXTRAESCOLAR -PEAC-,2AV. 1-04 ZONA 1,49174700,JOSE OSCAR TIPAZ VELASQUEZ,MARTIN SUT TECUM,PRIMARIA DE ADULTOS,OFICIAL,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,DOBLE,DIARIO(REGULAR),QUICHÉ
14-01-0192-44,14-01-0798,QUICHE,SANTA CRUZ DEL QUICHE,CENTRO DE EDUCACION EXTRAESCOLAR -PEAC-,2AV. 1-04 ZONA 1,77554386,JOSÉ OSCAR TIPÁZ VELÁSQUEZ,GREGORIO LOL HERNANDEZ,PRIMARIA DE ADULTOS,OFICIAL,RURAL,ABIERTA,MONOLINGUE,DOBLE,A DISTANCIA,QUICHÉ
14-01-1673-44,25-000,QUICHE,SANTA CRUZ DEL QUICHE,INSTITUTO GUATEMALTECO DE EDUCACION RADIOFONICA (IGER),CARITAS DIOSESANA 6A. CALLE 10-10,,SONIA HAYDEE REYES MONTERROSO,,PRIMARIA DE ADULTOS,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,VESPERTINA,A DISTANCIA,QUICHÉ
14-01-6074-44,14-01-0801,QUICHE,SANTA CRUZ DEL QUICHE,COLEGIO BILINGUE INTERCULTURAL Q IJ,11 CALL 06-03 ZONA 1,77550476,JORGE HUMBERTO MOTTA CANO,FEDERICO HERNÁNDEZ ZAPETA,PRIMARIA DE ADULTOS,PRIVADO,URBANA,ABIERTA,BILINGUE,DOBLE,FIN DE SEMANA,QUICHÉ
14-02-1676-44,,QUICHE,CHICHE,INSTITUTO GUATEMALTECO DE EDUCACI¢N RADIOFONICA IGER,PARROQUIA SANTO TOMAS,,,,PRIMARIA DE ADULTOS,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,MATUTINA,A DISTANCIA,QUICHÉ
14-03-1679-44,,QUICHE,CHINIQUE,INSTITUTO GUATEMALTECO DE EDUCACI¢N RADIOFONICA IGER,CASA PRO DESARROLLO,,,,PRIMARIA DE ADULTOS,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,MATUTINA,A DISTANCIA,QUICHÉ
14-03-4574-44,14-004,QUICHE,CHINIQUE,EOPA,BARRIO EL CENTRO,,LILIAN SOFIA DE LEON NORIEGA DE MORALES,MARÍA DEL MILAGRO MUÑOZ MUÑOZ,PRIMARIA DE ADULTOS,OFICIAL,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,NOCTURNA,DIARIO(REGULAR),QUICHÉ
