0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
CODIGO,DISTRITO,DEPARTAMENTO,MUNICIPIO,ESTABLECIMIENTO,DIRECCION,TELEFONO,SUPERVISOR,DIRECTOR,NIVEL,SECTOR,AREA,STATUS,MODALIDAD,JORNADA,PLAN,DEPARTAMENTAL
11-01-1204-41,11-01-0525,RETALHULEU,RETALHULEU,COPB ANEXA A EORM,COMUNIDAD AGRARIA SANTA INES,,MIGUEL ANGEL ARMAS ROCHA,,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),RETALHULEU
11-02-0023-41,11-02-0526,RETALHULEU,SAN SEBASTIAN,COPB,"8A. AVENIDA ZONA 4 CANTÓN PARINOX, SAN SEBASTIAN",50785891,MARCO TULIO CALDERÓN ESTRADA,GLORIA REBECA PÉREZ HUOX,PREPRIMARIA BILINGUE,OFICIAL,URBANA,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),RETALHULEU
11-02-0024-41,11-005,RETALHULEU,SAN SEBASTIAN,COPB,CANTÓN PUCA,0000000,MARCO TULIO CALDERON ESTRADA,DIMAR PASTOR PÉREZ,PREPRIMARIA BILINGUE,OFICIAL,RURAL,TEMPORAL NOMBRAMIENTO,BILINGUE,MATUTINA,DIARIO(REGULAR),RETALHULEU
11-02-0025-41,11-005,RETALHULEU,SAN SEBASTIAN,COPB EORM CANTÓN SAMALA SECTOR I,CANTÓN SAMALA SECTOR I,00000000,MARCO TULIO CALDERON ESTRADA,LINSY YANETH ARREAGA,PREPRIMARIA BILINGUE,OFICIAL,RURAL,TEMPORAL NOMBRAMIENTO,BILINGUE,MATUTINA,DIARIO(REGULAR),RETALHULEU
11-02-0093-41,11-02-0526,RETALHULEU,SAN SEBASTIAN,COPB ANEXA A EOUM NO 1,CANTON SAMALA,59011996,MARCO TULIO CALDERÓN ESTRADA,FRANCISCO CANO PAJARITO,PREPRIMARIA BILINGUE,OFICIAL,URBANA,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),RETALHULEU
11-02-0922-41,11-02-0527,RETALHULEU,SAN SEBASTIAN,COPB ANEXA A EORM,CANTON SAMALA,41095069,MARCO TULIO CALDERÓN ESTRADA,PAULA VIRGINIA ESTEBAN BATRES,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),RETALHULEU
11-03-1264-41,11-03-0529,RETALHULEU,SANTA CRUZ MULUA,COPB ANEXO A EORM JM,CANTON SAN ANTONIO EL MANGAL,33269114,YELITZA LISSETH ESCOBAR CABRERA,DORCA ANGELINA PÉREZ TORRES,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),RETALHULEU
11-04-1159-41,,RETALHULEU,SAN MARTIN ZAPOTITLAN,COPB,ALDEA QUISACHE,,,,PREPRIMARIA BILINGUE,OFICIAL,RURAL,CERRADA DEFINITIVAMENTE,BILINGUE,MATUTINA,DIARIO(REGULAR),RETALHULEU
11-06-0911-41,11-06-0534,RETALHULEU,SAN ANDRES VILLA SECA,COPB ANEXA A EORM,ALDEA BACAJIA I,58403300,LIGIA LORENA SOTO PAZ,DAVID ALEJANDRO CASTRO ORDOÑEZ,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),RETALHULEU
