0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
CODIGO,DISTRITO,DEPARTAMENTO,MUNICIPIO,ESTABLECIMIENTO,DIRECCION,TELEFONO,SUPERVISOR,DIRECTOR,NIVEL,SECTOR,AREA,STATUS,MODALIDAD,JORNADA,PLAN,DEPARTAMENTAL
06-01-0045-41,06-001,SANTA ROSA,CUILAPA,COPB PARCELAMIENTO CONCEPCIÓN,PARCELAMIENTO CONCEPCION,,IRMA YOLANDA CHACON ARROYO,,PREPRIMARIA BILINGUE,OFICIAL,RURAL,CERRADA DEFINITIVAMENTE,BILINGUE,MATUTINA,DIARIO(REGULAR),SANTA ROSA
06-01-0093-41,06-001,SANTA ROSA,CUILAPA,COPB ANEXO A EORM,ALDEA SAN JUAN DE ARANA,78233945,IRMA YOLANDA CHACON ARROYO,MARTA LIDIA SARMIENTOS VICTORIO,PREPRIMARIA BILINGUE,OFICIAL,RURAL,TEMPORAL NOMBRAMIENTO,BILINGUE,MATUTINA,DIARIO(REGULAR),SANTA ROSA
06-01-0094-41,06-001,SANTA ROSA,CUILAPA,COPB ANEXO A EORM,CASERÍO CUILAPILLA,78233944,IRMA YOLANDA CHACON ARROYO,MARTA LIDIA SARMIENTOS VICTORIO,PREPRIMARIA BILINGUE,OFICIAL,RURAL,TEMPORAL NOMBRAMIENTO,BILINGUE,MATUTINA,DIARIO(REGULAR),SANTA ROSA
06-01-0095-41,06-001,SANTA ROSA,CUILAPA,COPB ANEXO A EORM,ALDEA SAN JOSÉ LAS BRISAS,78233944,IRMA YOLANDA CHACON ARROYO,MARTA LIDIA SARMIENTOS VICTORIO,PREPRIMARIA BILINGUE,OFICIAL,RURAL,TEMPORAL NOMBRAMIENTO,BILINGUE,MATUTINA,DIARIO(REGULAR),SANTA ROSA
06-01-1648-41,26-023,SANTA ROSA,CUILAPA,EDAC -PRONADE- ANEXA,PARCELAMIENTO CONCEPCION PARCELAMIENTO CONCEPCION,,PROYECTO PREDIN,,PREPRIMARIA BILINGUE,OFICIAL,RURAL,CERRADA DEFINITIVAMENTE,BILINGUE,MATUTINA,DIARIO(REGULAR),SANTA ROSA
06-06-1610-41,05-021,SANTA ROSA,ORATORIO,PROFESIONALES,"COLONIA LOU, ZONA 1",,LUZ DEL ROSARIO RODRIGUEZ DE LEON,,PREPRIMARIA BILINGUE,PRIVADO,SIN ESPECIFICAR,CERRADA DEFINITIVAMENTE,BILINGUE,VESPERTINA,DIARIO(REGULAR),SANTA ROSA
06-06-1622-41,,SANTA ROSA,ORATORIO,,,,,,PREPRIMARIA BILINGUE,OFICIAL,URBANA,CERRADA DEFINITIVAMENTE,BILINGUE,MATUTINA,DIARIO(REGULAR),SANTA ROSA
06-07-0018-41,06-010,SANTA ROSA,SAN JUAN TECUACO,COPB ANEXO A EORM,ALDEA SAN LUIS,78233944,MELVIN ALEXY CANO ACEITUNO,MARTA LIDIA SARMIENTOS VICTORIO,PREPRIMARIA BILINGUE,OFICIAL,RURAL,TEMPORAL NOMBRAMIENTO,BILINGUE,MATUTINA,DIARIO(REGULAR),SANTA ROSA
06-07-0019-41,06-010,SANTA ROSA,SAN JUAN TECUACO,COPB ANEXO A EORM,CASERÍO LINDA VISTA,78233944,MELVIN ALEXY CANO ACEITUNO,MARTA LIDIA SARMIENTOS VICTORIO,PREPRIMARIA BILINGUE,OFICIAL,RURAL,TEMPORAL NOMBRAMIENTO,BILINGUE,MATUTINA,DIARIO(REGULAR),SANTA ROSA
06-07-0020-41,06-010,SANTA ROSA,SAN JUAN TECUACO,COPB ANEXO A EORM,CASERÍO LA LOMA,78233944,MELVIN ALEXY CANO ACEITUNO,MARTA LIDIA SARMIENTOS VICTORIO,PREPRIMARIA BILINGUE,OFICIAL,RURAL,TEMPORAL NOMBRAMIENTO,BILINGUE,MATUTINA,DIARIO(REGULAR),SANTA ROSA
06-07-0021-41,06-010,SANTA ROSA,SAN JUAN TECUACO,COPB ANEXO A EORM,CASERÍO LIBERACIÓN,78233944,MELVIN ALEXY CANO ACEITUNO,MARTA LIDIA SARMIENTOS VICTORIO,PREPRIMARIA BILINGUE,OFICIAL,RURAL,TEMPORAL NOMBRAMIENTO,BILINGUE,MATUTINA,DIARIO(REGULAR),SANTA ROSA
