0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
CODIGO,DISTRITO,DEPARTAMENTO,MUNICIPIO,ESTABLECIMIENTO,DIRECCION,TELEFONO,SUPERVISOR,DIRECTOR,NIVEL,SECTOR,AREA,STATUS,MODALIDAD,JORNADA,PLAN,DEPARTAMENTAL
06-01-0035-44,06-01-0302,SANTA ROSA,CUILAPA,EOPA,"2A AVENIDA 4-03 ZONA 4, BARRIO EL LLANITO",54448299,IRMA YOLANDA CHACÓN ARROYO,JOSE ANTONIO LOPEZ,PRIMARIA DE ADULTOS,OFICIAL,URBANA,ABIERTA,MONOLINGUE,NOCTURNA,DIARIO(REGULAR),SANTA ROSA
06-01-0087-44,06-001,SANTA ROSA,CUILAPA,CENTRO DE EDUCACION EXTRAESCOLAR -PEAC-,BARRIO EL LLANITO 1RA CALLE ZONA 4,57498669,IRMA YOLANDA CHACON ARROYO,ROMULO BARRIENTOS MONTERROSO,PRIMARIA DE ADULTOS,OFICIAL,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,DOBLE,A DISTANCIA,SANTA ROSA
06-01-0088-44,06-001,SANTA ROSA,CUILAPA,CENTRO DE EDUCACION EXTRAESCOLAR -PEAC-,BARRIO EL LLANITO 1RA CALLE ZONA 4,57498669,IRMA YOLANDA CHACON ARROYO,ROMULO BARRIENTOS MONTERROSO,PRIMARIA DE ADULTOS,OFICIAL,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,DOBLE,DIARIO(REGULAR),SANTA ROSA
06-01-0089-44,06-01-0302,SANTA ROSA,CUILAPA,CENTRO DE EDUCACION EXTRAESCOLAR -PEAC-,BARRIO EL LLANITO 1RA CALLE ZONA 4,53269577,IRMA YOLANDA CHACÓN ARROYO,KAREN ANDREA ZARCEÑO ORTEGA,PRIMARIA DE ADULTOS,OFICIAL,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,SANTA ROSA
06-01-0114-44,06-039,SANTA ROSA,CUILAPA,"CENTRO DE EDUCACIÓN EXTRAESCOLAR ""SANTA ROSITA""",CENTRO PREVENTIVO EL BOQUERÓN,30157695,JORGE BALDOMERO GONZALEZ BARRERA,GRICELDA ESCOBAR LEMUS,PRIMARIA DE ADULTOS,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SANTA ROSA
06-03-0559-44,25-000,SANTA ROSA,SANTA ROSA DE LIMA,INSTITUTO GUATEMALTECO DE EDUCACION RADIOFONICA (IGER),PARROQUIA SANTA ROSA DE LIMA,,SONIA HAYDEE REYES MONTERROSO,,PRIMARIA DE ADULTOS,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,MATUTINA,A DISTANCIA,SANTA ROSA
06-03-1752-44,06-005,SANTA ROSA,SANTA ROSA DE LIMA,LICEO MIXTO DE EDUCACION 'PREBISTERO GUILLERMO JAGENEAU',ALDEA LAGUNA DE PERREIRA,78889015,DELIA JUDITH HERNANDEZ CARIAS,,PRIMARIA DE ADULTOS,PRIVADO,RURAL,CERRADA DEFINITIVAMENTE,MONOLINGUE,NOCTURNA,DIARIO(REGULAR),SANTA ROSA
06-04-0554-44,,SANTA ROSA,CASILLAS,IGER,AYARSA,,,,PRIMARIA DE ADULTOS,PRIVADO,URBANA,CERRADA DEFINITIVAMENTE,MONOLINGUE,MATUTINA,A DISTANCIA,SANTA ROSA
06-06-0556-44,,SANTA ROSA,ORATORIO,IGER,,,,,PRIMARIA DE ADULTOS,PRIVADO,URBANA,CERRADA DEFINITIVAMENTE,MONOLINGUE,MATUTINA,A DISTANCIA,SANTA ROSA
