0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
CODIGO,DISTRITO,DEPARTAMENTO,MUNICIPIO,ESTABLECIMIENTO,DIRECCION,TELEFONO,SUPERVISOR,DIRECTOR,NIVEL,SECTOR,AREA,STATUS,MODALIDAD,JORNADA,PLAN,DEPARTAMENTAL
08-01-0001-41,08-01-0388,TOTONICAPAN,TOTONICAPAN,COPB ANEXO A EORM,ALDEA CHIPUAC,57497313,YESENIA CAROLINA TACÁM MORALES,ROSA ELENA DE LEÓN DE LEÓN,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),TOTONICAPÁN
08-01-0002-41,08-01-0390,TOTONICAPAN,TOTONICAPAN,COPB ANEXO A EORM,PARAJE CHICHACLAN CANTON PAQUI,50413667,FRANCISCO RECINO XALIX SAY,ARACELY ELIZABETH CHAMORRO ALVARADO,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),TOTONICAPÁN
08-01-0003-41,08-01-0393,TOTONICAPAN,TOTONICAPAN,COPB ANEXO A EORM,PARAJE PATUJ CANTON PANQUIX,59368109,ROBERTO APARICIO RECINOS VALDEZ,GREGORIO GASPAR PUAC GARCÍA,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),TOTONICAPÁN
08-01-0004-41,08-01-0390,TOTONICAPAN,TOTONICAPAN,COPB ANEXO A EORM MANUEL GARCIA ELGUETA,CANTON CHOTACAJ,77664033,FRANCISCO RECINO XALIX SAY,LUCÍA FRANCISCA PU TZIC,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),TOTONICAPÁN
08-01-0005-41,08-01-0387,TOTONICAPAN,TOTONICAPAN,COPB ANEXO A EORM,PARAJE XENAJTAJUYUP CANTON CHIYAX,47101653,JOSÉ VICTOR CHAMORRO HUITZ,OSCAR ALEJANDRO GARCÍA VELÁSQUEZ,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),TOTONICAPÁN
08-01-0006-41,08-01-0394,TOTONICAPAN,TOTONICAPAN,COPB ANEXO A EORM,CANTON TZANIXNAM,51869205,HEBERTO WOTZBELÍ PALACIOS JUC,GERMAN SAMUEL LÓPEZ PIVARAL,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),TOTONICAPÁN
08-01-0007-41,08-01-0387,TOTONICAPAN,TOTONICAPAN,COPB ANEXO A EORM TECUN UMAN,CANTON CHIYAX,57877867,JOSÉ VICTOR CHAMORRO HUITZ,LEONARDO RAFAEL YAX TAX,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),TOTONICAPÁN
08-01-0008-41,08-01-0396,TOTONICAPAN,TOTONICAPAN,COPB ANEXO A EORM MANUEL R. ESPADA,CANTON PACHOC,48631029,JOSÉ MANUEL CASTRO GUTIÉRREZ,RODOLFO GUMERCINDO VÁSQUEZ GUINEA,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),TOTONICAPÁN
08-01-0009-41,,TOTONICAPAN,TOTONICAPAN,COPB ANEXO A EORM 'ADRIAN INES CHAVEZ',CANTON XOLSACMALJA,,,,PREPRIMARIA BILINGUE,OFICIAL,RURAL,CERRADA DEFINITIVAMENTE,BILINGUE,MATUTINA,DIARIO(REGULAR),TOTONICAPÁN
