0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
CODIGO,DISTRITO,DEPARTAMENTO,MUNICIPIO,ESTABLECIMIENTO,DIRECCION,TELEFONO,SUPERVISOR,DIRECTOR,NIVEL,SECTOR,AREA,STATUS,MODALIDAD,JORNADA,PLAN,DEPARTAMENTAL
19-01-0071-44,19-01-1117,ZACAPA,ZACAPA,EOPA,5A CALLE 11-20 ZONA 1,79416308,HUGO WILFREDO VARGAS CHACÓN,EDVIN HAROLDO ARREAZA PAZOS,PRIMARIA DE ADULTOS,OFICIAL,URBANA,ABIERTA,MONOLINGUE,NOCTURNA,DIARIO(REGULAR),ZACAPA
19-01-0151-44,19-001,ZACAPA,ZACAPA,CENTRO DE EDUCACION EXTRAESCOLAR -PEAC-,4TA Y 5TA CALLE 15 AV. ZONA 1,40738880,SONIA HAYDEE RUIZ WONG,OVIDIO OTONIEL DE LEON ARAGON,PRIMARIA DE ADULTOS,OFICIAL,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,DOBLE,A DISTANCIA,ZACAPA
19-01-0152-44,19-001,ZACAPA,ZACAPA,CENTRO DE EDUCACION EXTRAESCOLAR -PEAC-,3RA CALLE ENTRE 14 Y 13 AVENIDA ZONA 1,40738880,SONIA HAYDEE RUIZ WONG,OVIDIO OTONIEL DE LEON ARAGON,PRIMARIA DE ADULTOS,OFICIAL,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,DOBLE,DIARIO(REGULAR),ZACAPA
19-01-0153-44,19-01-1117,ZACAPA,ZACAPA,CENTRO DE EDUCACION EXTRAESCOLAR -PEAC-,3RA. CALLE ENTRE 14 Y 15 AVENIDA ZONA 1,45820775,HUGO WILFREDO VARGAS CHACÓN,ROSA LUBINA CORDÓN PINEDA,PRIMARIA DE ADULTOS,OFICIAL,URBANA,CERRADA DEFINITIVAMENTE,MONOLINGUE,DOBLE,A DISTANCIA,ZACAPA
19-01-0163-44,19-01-1117,ZACAPA,ZACAPA,EODEE NUEVO DIA,BARRIO LA REFORMA ZONA 2,56586848,HUGO WILFREDO VARGAS CHACÓN,ROSA ADRIANA FUENTES CASTAÑEDA,PRIMARIA DE ADULTOS,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ZACAPA
19-01-0199-44,19-01-1116,ZACAPA,ZACAPA,"COLEGIO ""HIGA""",BOSQUES DE SAN JULIAN ZACAPA,49057528,SONIA HAYDEE RUIZ WONG,EDILIO PAZ ARCHILA,PRIMARIA DE ADULTOS,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,ZACAPA
19-01-0221-44,19-018,ZACAPA,ZACAPA,CENTRO DE EDUCACIÓN EXTRAESCOLAR -CEEX-,ALDEA LOS JOCOTES,55138081,MAYRA MARIVEL LOPEZ HERNANDEZ,JESÚS RODIMIRO MARTÍNEZ LÓPEZ,PRIMARIA DE ADULTOS,OFICIAL,RURAL,ABIERTA,MONOLINGUE,DOBLE,DIARIO(REGULAR),ZACAPA
19-01-0418-44,25-000,ZACAPA,ZACAPA,INSTITUTO GUATEMALTECO DE EDUCACION RADIOFONICA (IGER),CASA PARROQUIAL,,SONIA HAYDEE REYES MONTERROSO,,PRIMARIA DE ADULTOS,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,MATUTINA,A DISTANCIA,ZACAPA
19-02-0414-44,,ZACAPA,ESTANZUELA,INSTITUTO GUATEMALTECO DE EDUCACION RADIOFONICA (IGER),PARROQUIA SANTA CECILIA,,,,PRIMARIA DE ADULTOS,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,MATUTINA,A DISTANCIA,ZACAPA
19-04-0415-44,,ZACAPA,GUALAN,INSTITUTO GUATEMALTECO DE EDUCACION RADIOFONICA (IGER),,,,,PRIMARIA DE ADULTOS,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,MATUTINA,A DISTANCIA,ZACAPA
19-07-0015-44,19-07-1133,ZACAPA,CABAÑAS,"EODEE ESCUELA OFICIAL DE EDUCACIÓN ESPECIAL, PARA ADULTOS",BARRIO EL CENTRO CABAÑAS,48735997,XIOMARA ARACELY CUYUCH PÉREZ,KATHERINE CELESTE GALLARDO MACAL,PRIMARIA DE ADULTOS,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ZACAPA
19-07-0413-44,,ZACAPA,CABAÑAS,INSTITUTO GUATEMALTECO DE EDUCACION RADIOFONICA (IGER),CABAÑAS,,,,PRIMARIA DE ADULTOS,PRIVADO,URBANA,CERRADA DEFINITIVAMENTE,MONOLINGUE,VESPERTINA,A DISTANCIA,ZACAPA
19-08-0417-44,,ZACAPA,SAN DIEGO,INSTITUTO GUATEMALTECO DE EDUCACION RADIOFONICA (IGER),,,,,PRIMARIA DE ADULTOS,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,VESPERTINA,A DISTANCIA,ZACAPA
19-09-0416-44,,ZACAPA,LA UNION,INSTITUTO GUATEMALTECO DE EDUCACION RADIOFONICA (IGER),,,,,PRIMARIA DE ADULTOS,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,MATUTINA,A DISTANCIA,ZACAPA
