0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
CODIGO,DISTRITO,DEPARTAMENTO,MUNICIPIO,ESTABLECIMIENTO,DIRECCION,TELEFONO,SUPERVISOR,DIRECTOR,NIVEL,SECTOR,AREA,STATUS,MODALIDAD,JORNADA,PLAN,DEPARTAMENTAL
09-01-0049-43,09-01-0428,QUETZALTENANGO,QUETZALTENANGO,EOUV NO.5 FRANCISCO VELARDE,13 AVE. 3-33 ZONA 3,58980985,JUAN CARLOS RONQUILLO,PATRICIA JEANETH RIVERA ESTRADA,PRIMARIA,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),QUETZALTENANGO
09-01-0050-43,09-01-0425,QUETZALTENANGO,QUETZALTENANGO,"EOUN ""MANUEL ORTEGA""",1A. CALLE 17-02 ZONA 1,50211016,RAMÓN YAX LAÍNES,MÓNICA LORENA BARAHONA TOLEDO,PRIMARIA,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),QUETZALTENANGO
09-01-0051-43,09-01-0424,QUETZALTENANGO,QUETZALTENANGO,EOUN ANTONIA DE MARURE,"FRENTE A PLAZUELA EL CALVARIO, ZONA 1",45009364,ROSEMERY GUADALUPE PIEDRASANTA,SALOMÉ SAQUIC LASTOR,PRIMARIA,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),QUETZALTENANGO
09-01-0052-43,09-01-0428,QUETZALTENANGO,QUETZALTENANGO,EOUV FRANCISCO MUÑOZ,1A. CALLE 12-25 ZONA 3,54956022,JUAN CARLOS RONQUILLO,LUZ CRISTINA QUIROA BETETA,PRIMARIA,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),QUETZALTENANGO
09-01-0053-43,09-01-0426,QUETZALTENANGO,QUETZALTENANGO,EOUN ANTONIA ESTRADA MONZON,10A. CALLE 13-10 ZONA 1,77917810,PEDRO GERÓNIMO SARAT CHAJ,CÉSAR ARIEL VÁSQUEZ PISQUIY,PRIMARIA,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),QUETZALTENANGO
09-01-0054-43,09-01-0430,QUETZALTENANGO,QUETZALTENANGO,EOUM 15 DE SEPTIEMBRE,COLONIA ROSARIO ZONA 3,,WILSON RANFERÍ SIGÚENZA LÓPEZ,MARLENNE NYNETH DE LEON LOPEZ,PRIMARIA,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),QUETZALTENANGO
09-01-0055-43,09-01-0425,QUETZALTENANGO,QUETZALTENANGO,EOUN SECUNDINA ARRIOLA,AV. JESUS CASTILLO A-16 ZONA 2,59854823,RAMÓN YAX LAÍNES,ERIKA ROXANA REYES LOPEZ,PRIMARIA,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),QUETZALTENANGO
09-01-0056-43,09-01-0428,QUETZALTENANGO,QUETZALTENANGO,EOUN SOLEDAD ESPAÑA,14 AVE. A 0-36 ZONA 1,50505069,JUAN CARLOS RONQUILLO,CARLOS GUILLERMO JUÁREZ ARRIOLA,PRIMARIA,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),QUETZALTENANGO
09-01-0057-43,09-01-0427,QUETZALTENANGO,QUETZALTENANGO,"EOUN ""ANTONIO JOSE DE IRISARRI""",3A. CALLE 13-28 ZONA 3,58666402,DINA RUBÍ GONZÁLEZ DE LEÓN,MIRIAM ISABEL VELÁSQUEZ NORIEGA,PRIMARIA,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),QUETZALTENANGO
09-01-0058-43,09-01-0425,QUETZALTENANGO,QUETZALTENANGO,EOUM SAN BARTOLOME,3A. AVENIDA 0-49 ZONA 4,41686654,RAMÓN YAX LAÍNES,JUAN JOSÉ COYOY YAX,PRIMARIA,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),QUETZALTENANGO
