0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
CODIGO,DISTRITO,DEPARTAMENTO,MUNICIPIO,ESTABLECIMIENTO,DIRECCION,TELEFONO,SUPERVISOR,DIRECTOR,NIVEL,SECTOR,AREA,STATUS,MODALIDAD,JORNADA,PLAN,DEPARTAMENTAL
12-01-0010-43,12-01-0552,SAN MARCOS,SAN MARCOS,EOUN TIPO FEDERACION 'DR. ULISES ROJAS BENFELL',2A. AVENIDA Y 11 CALLE ZONA 1,55596615,ENIO RELMAN MALDONADO SOLIS,VICTOR HUGO OCHOA GÁLVEZ,PRIMARIA,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SAN MARCOS
12-01-0011-43,12-01-0551,SAN MARCOS,SAN MARCOS,EOUM DE APLICACION 'NACIONES UNIDAS',12 AVENIDA 8-48 ZONA 3,31191046,AMILSA YAMILETH ESTRADA RODRÍGUEZ,ABIMELEC MATUSAEL LÓPEZ BAUTISTA,PRIMARIA,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SAN MARCOS
12-01-0012-43,12-01-0552,SAN MARCOS,SAN MARCOS,EOUM ESTADO DE ISRAEL,ZONA 3 CANTON SAN ANTONIO,30408359,ENIO RELMAN MALDONADO SOLIS,LISELY ANALY JUÁREZ MÉRIDA,PRIMARIA,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SAN MARCOS
12-01-0013-43,12-01-0555,SAN MARCOS,SAN MARCOS,EOUM 'CARLOS CASTILLO ARMAS',"CANTON SAN FRANCISCO, ZONA 5",77603110,CÉSAR AUGUSTO FUENTES DEL VALLE,ESTELA ANGELINA GARCÍA MARROQUIN,PRIMARIA,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SAN MARCOS
12-01-0014-43,12-01-0554,SAN MARCOS,SAN MARCOS,EOUN NO.2 ISABEL BARRIOS Y BARRIOS,5A. CALLE 9-38 ZONA 4,38606008,HELIUV EDILZAR VÁSQUEZ NAVARRO,LEODAN GÁLVEZ ROBLERO,PRIMARIA,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SAN MARCOS
12-01-0015-43,12-01-0551,SAN MARCOS,SAN MARCOS,"EOUV NO. 3 ""DELFINO AGUILAR""",5A. CALLE 9-56 ZONA 4,77605885,AMILSA YAMILETH ESTRADA RODRÍGUEZ,MASLERY MARÍA MONTERROSO MORÁN,PRIMARIA,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SAN MARCOS
12-01-0016-43,12-01-0554,SAN MARCOS,SAN MARCOS,EOUV NO.1 'J. ANTONIO DE LEON BONILLA',8A. AVENIDA 4-94 ZONA 2,59333532,HELIUV EDILZAR VÁSQUEZ NAVARRO,ESTELA LIDIA BARTOLÓN PÉREZ,PRIMARIA,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SAN MARCOS
12-01-0017-43,12-01-0554,SAN MARCOS,SAN MARCOS,"COLEGIO ""SAN MARCOS""",6A. AVENIDA 4-92 ZONA 2,77604147,HELIUV EDILZAR VÁSQUEZ NAVARRO,CAROLINA PATRICIA MARTÍNEZ TRUJILLO,PRIMARIA,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SAN MARCOS
12-01-0018-43,12-01-0552,SAN MARCOS,SAN MARCOS,COLEGIO EVANGELICO MIXTO NAZARENO,15 AVENIDA 5-36 ZONA 5,45764065,ENIO RELMAN MALDONADO SOLIS,ENNA DEL CARMEN GIRÓN RODRÍGUEZ,PRIMARIA,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SAN MARCOS
