0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
CODIGO,DISTRITO,DEPARTAMENTO,MUNICIPIO,ESTABLECIMIENTO,DIRECCION,TELEFONO,SUPERVISOR,DIRECTOR,NIVEL,SECTOR,AREA,STATUS,MODALIDAD,JORNADA,PLAN,DEPARTAMENTAL
00-01-0154-45,01-01-0044,CIUDAD CAPITAL,ZONA 1,INSTITUTO NACIONAL DE EDUCACION BASICA O DE CULTURA GENERAL MARIA LUISA SAMAYOA LANUZA,10A AVE. 9-42,22518808,MARIANO DOMINGO ESTRADA TELETOR,ZOILA MARINA PALALA GUDIEL,BASICO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA NORTE
00-01-0155-45,01-01-0032,CIUDAD CAPITAL,ZONA 1,INSTITUTO NACIONAL EXPERIMENTAL DE EDUCACION BASICA CON ORIENTACION OCUPACIONAL PEMEM II,3A CALLE 15-45,51304523,LUDIBEL AMARILIS GALICIA DE FLORES,ROSENDO VALERIANO HERNANDEZ MORALES,BASICO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA NORTE
00-01-0156-45,01-01-0038,CIUDAD CAPITAL,ZONA 1,"INEB JN, ""PEDRO ARRIAZA MATA""",10A AVE. 12-01,22383239,CARLOS HUMBERTO GONZALEZ DE LEON,BRUNO LUIS VIAU GARCÍA,BASICO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,NOCTURNA,DIARIO(REGULAR),GUATEMALA NORTE
00-01-0157-45,01-01-0028,CIUDAD CAPITAL,ZONA 1,IPSB VIRGEN PODEROSA CASA CENTRAL,2A AVE. 13-12,22214137,AMADO SALOMON FLORES PEREZ,SOR LIDIA MARÍA HERNÁNDEZ PÉREZ,BASICO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA NORTE
00-01-0159-45,01-01-0044,CIUDAD CAPITAL,ZONA 1,IPMB COLEGIO SANTA SOFIA,13 CALLE 3-44,41477208,MARIANO DOMINGO ESTRADA TELETOR,MIGUEL ANGEL LÁZARO,BASICO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA NORTE
00-01-0160-45,,CIUDAD CAPITAL,ZONA 1,IPMB 'CENTRO DE ESTUDIOS MERCADOLOGICOS Y PUBLICITARIOS',8A AVE. 3-50,,,,BASICO,PRIVADO,URBANA,CERRADA DEFINITIVAMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA NORTE
00-01-0161-45,01-01-0032,CIUDAD CAPITAL,ZONA 1,IPMB COLEGIO LOYOLA,12 AVE. 4-30,22044800,LUDIBEL AMARILIS GALICIA DE FLORES,CLAUDIA JANNETH HERNÁNDEZ LÓPEZ,BASICO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA NORTE
00-01-0162-45,,CIUDAD CAPITAL,ZONA 1,IPMB 'CENTRO EDUCACIONAL GUATEMALTECO',11 CALLE 9-33,22381718,,,BASICO,PRIVADO,URBANA,CERRADA DEFINITIVAMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA NORTE
00-01-0163-45,01-210,CIUDAD CAPITAL,ZONA 1,IPMB COLEGIO GUATEMALTECO 'MENTES SANAS',13 CALLE 2-52,22320559,DINIZ ORALIA MORALES MUÑOZ,,BASICO,PRIVADO,URBANA,CERRADA DEFINITIVAMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA NORTE
00-01-0164-45,01-01-0028,CIUDAD CAPITAL,ZONA 1,LICEO CANADIENSE,11 CALLE 1-53,23750055,AMADO SALOMON FLORES PEREZ,ADA LUCRECIA MIJANGOS TEO,BASICO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA NORTE
00-01-0165-45,,CIUDAD CAPITAL,ZONA 1,IPMB 'EVEREST',2A AVE. 14-60,22329642,,,BASICO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA NORTE
00-01-0166-45,01-01-0031,CIUDAD CAPITAL,ZONA 1,LICEO TECNOLOGICO GUATEMALA DE LA ASUNCIÓN,"3A, CALLE 7-64",22326173,LUDIBEL AMARILIS GALICIA DE FLORES,ELUBIA ANAYTE SIGUENZA MONTERROSO,BASICO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA NORTE
00-01-0167-45,,CIUDAD CAPITAL,ZONA 1,IPMB COLEGIO 'JOSEFINA GONZALEZ',12 AVE. 13-25,22322306,,,BASICO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),GUATEMALA NORTE
00-01-0168-45,,CIUDAD CAPITAL,ZONA 1,IPMB 'LICEO MARIANO GALVEZ',2A AVE. 9-82,,,,BASICO,PRIVADO,URBANA,CERRADA DEFINITIVAMENTE,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),GUATEMALA NORTE
00-01-0169-45,01-403,CIUDAD CAPITAL,ZONA 1,IPMB 'ENRIQUE MUÑOZ MEANY',12 AVE. 13-25,22322306,CARLOS HUMBERTO GONZÁLEZ DE LEÓN,,BASICO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,NOCTURNA,DIARIO(REGULAR),GUATEMALA NORTE
00-01-0170-45,,CIUDAD CAPITAL,ZONA 1,IPMB COLEGIO 'MONTSERRAT',15 AVE. 2-63,22530372,,,BASICO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,NOCTURNA,DIARIO(REGULAR),GUATEMALA NORTE
00-01-0171-45,01-401,CIUDAD CAPITAL,ZONA 1,IPMB COLEGIO LA ENSEÑANZA,5A CALLE 9-28,22511762,IXMUCANE ALDANA VILLAVICENCIO,,BASICO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,NOCTURNA,DIARIO(REGULAR),GUATEMALA NORTE
00-01-0172-45,,CIUDAD CAPITAL,ZONA 1,IPMB COLEGIO 'GUATEMALA' (ENSEÑANZA POR CORRESPONDENCIA),5A CALLE 5-33,22329021,,,BASICO,PRIVADO,URBANA,CERRADA DEFINITIVAMENTE,MONOLINGUE,NOCTURNA,DIARIO(REGULAR),GUATEMALA NORTE
00-01-0189-45,01-01-0037,CIUDAD CAPITAL,ZONA 1,INSTITUTO FEDERICO CROWE POR MADUREZ,4A. AVENIDA 9-66,22517748,CARLOS HUMBERTO GONZALEZ DE LEON,MANUEL ALEJANDRO AGUILAR ROMERO,BASICO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,FIN DE SEMANA,GUATEMALA NORTE
00-01-0193-45,01-403,CIUDAD CAPITAL,ZONA 1,LICEO TECNOLOGICO GUATEMALA DE LA ASUNCIÓN,3A. CALLE 7-64,22329406,CARLOS HUMBERTO GONZÁLEZ DE LEÓN,ELUBIA ANAYTE SIGUENZA MONTERROSO,BASICO,PRIVADO,URBANA,CERRADA DEFINITIVAMENTE,MONOLINGUE,DOBLE,DIARIO(REGULAR),GUATEMALA NORTE
00-01-0202-45,01-01-0040,CIUDAD CAPITAL,ZONA 1,"INSTITUTO MIXTO ""MIGUEL DE CERVANTES""",10ª. CALLE 1-47,42168421,AMADO SALOMON FLORES PEREZ,CARLOS RENE ESCOBAR MONTENEGRO,BASICO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA NORTE
00-01-0203-45,01-301,CIUDAD CAPITAL,ZONA 1,INEB ADSCRITO AL INSTITUTO NACIONAL CENTRAL PARA VARONES,9A AVE. 9-27,22328285,LUCRECIA MARISOL CERMEÑO GONZÁLEZ,CARLOS ALFREDO VALDEZ PAZ,BASICO,OFICIAL,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA NORTE
00-01-0204-45,01-01-0026,CIUDAD CAPITAL,ZONA 1,INSTITUTO NACIONAL DE EDUCACIÓN BÁSICA ADSCRITO AL INSTITUTO NORMAL PARA SEÑORITAS CENTRO AMERICA (I.N.C.A),1A. CALLE 2-64 1,22323414,LUDIBEL AMARILIS GALICIA DE FLORES,INGRID MARIELA ESPINA ORELLANA,BASICO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA NORTE
00-01-0205-45,01-01-0044,CIUDAD CAPITAL,ZONA 1,"INSTITUTO NACIONAL DE EDUCACIÓN BÁSICA ADSCRITO AL INSTITUTO NORMAL CENTRAL PARA SEÑORITAS ""BELEN""",11 AVENIDA 12-20,22321609,MARIANO DOMINGO ESTRADA TELETOR,ELSA CORALIA LEÓN BARRIOS,BASICO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA NORTE
00-01-0206-45,01-01-0048,CIUDAD CAPITAL,ZONA 1,INEB ADSCRITO INSTITUTO RAFAEL AQUECHE,"9A CALLE 2-36,",22326422,AMADO SALOMON FLORES PEREZ,EVA ANGELINA RAMIREZ IXCAMPARIJ DE RAMÍREZ,BASICO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA NORTE
00-01-0207-45,01-01-0048,CIUDAD CAPITAL,ZONA 1,INEB ADSCRITO INSTITUTO NORMAL MIXTO ¨RAFAEL AQUECHE¨,9A CALLE 2-36,22533274,AMADO SALOMON FLORES PEREZ,FREDY AMILCAR CRUZ,BASICO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),GUATEMALA NORTE
00-01-0208-45,01-01-0033,CIUDAD CAPITAL,ZONA 1,INSTITUTO NACIONAL DE EDUCACIÓN BÁSICA ADSCRITO AL INSTITUTO NORMAL MIXTO NOCTURNO,9A AVE. 9-27,41302287,CARLOS HUMBERTO GONZALEZ DE LEON,GLADYS MAGALI BAQUIAX LÓPEZ,BASICO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,NOCTURNA,DIARIO(REGULAR),GUATEMALA NORTE
00-01-0209-45,01-01-0030,CIUDAD CAPITAL,ZONA 1,IPVB COLEGIO PARROQUIAL DEL CALVARIO MATEO PERRONE,6A. AVENIDA 18-23,23120655,NORMA ARACELY PALOMO FRANCO DE DÍAZ,CARLOS MUÑOZ CASTILLO,BASICO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA NORTE
00-01-0210-45,01-01-0028,CIUDAD CAPITAL,ZONA 1,COLEGIO CATOLICO SAN PABLO,14 CALLE A 2-41,22383007,AMADO SALOMON FLORES PEREZ,EDGAR VINICIO PALENCIA PACHECO,BASICO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA NORTE
00-01-0211-45,01-01-0031,CIUDAD CAPITAL,ZONA 1,COLEGIO PARA VARONES SAN SEBASTIAN,2A CALLE 6-56,22100000,LUDIBEL AMARILIS GALICIA DE FLORES,EDGAR ROLANDO MARROQUÍN AMADO,BASICO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA NORTE
00-01-0212-45,01-01-0030,CIUDAD CAPITAL,ZONA 1,"COLEGIO SALESIANO ""DON BOSCO""",26 CALLE 2-46 GUATEMALA,22465117,NORMA ARACELY PALOMO FRANCO DE DÍAZ,JÉSSICA BHETZABÉ URETA DE LEÓN,BASICO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA NORTE
00-01-0213-45,01-318,CIUDAD CAPITAL,ZONA 1,LICEO SAN ANTONIO,2A. AVENIDA 2-13,22201482,SANDRA CAROLINA PÉREZ DONDIEGO DE CHOC,IRMA LETICIA BOLAÑOS SAMAYOA,BASICO,PRIVADO,URBANA,CERRADA DEFINITIVAMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA NORTE
00-01-0214-45,,CIUDAD CAPITAL,ZONA 1,IPVB 'SAN JOSE DE LOS INFANTES',7A AVE. 6-73,22382935,,,BASICO,PRIVADO,URBANA,CERRADA DEFINITIVAMENTE,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),GUATEMALA NORTE
00-01-0215-45,,CIUDAD CAPITAL,ZONA 1,IPSB COLEGIO 'SUPERIOR GUATEMALTECO',13 CALLE 10-38,22322931,,,BASICO,PRIVADO,URBANA,CERRADA DEFINITIVAMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA NORTE
00-01-0216-45,01-01-0038,CIUDAD CAPITAL,ZONA 1,LICEO TECNOLÓGICO GUATEMALA DE LA ASUNCIÓN,3A. CALLE 7-64,54452951,CARLOS HUMBERTO GONZALEZ DE LEON,ELUBIA ANAYTE SIGUENZA MONTERROSO,BASICO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,GUATEMALA NORTE
00-01-0217-45,,CIUDAD CAPITAL,ZONA 1,INSTITUTO 'BILINGUE GUATEMALTECO',6A AVE. 2-34,22516977,,,BASICO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),GUATEMALA NORTE
00-01-0219-45,01-312,CIUDAD CAPITAL,ZONA 1,CENTRO DE ESTUDIOS SECRETARIALES 'WILBRIGDE',8A CALLE 2-40,22324201,AMADO SALOMON FLORES PEREZ,,BASICO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA NORTE
00-01-0220-45,01-01-0040,CIUDAD CAPITAL,ZONA 1,IPSB 'LICEO FRANCES',5A AVE. 9-80,22325538,AMADO SALOMON FLORES PEREZ,ANA MARIA ESTRADA RAMIREZ,BASICO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA NORTE
00-01-0221-45,01-317,CIUDAD CAPITAL,ZONA 1,"IPSB ""NUESTRA SEÑORA DEL CARMEN""",11 AV. 3-17,22325399,MARIANO DOMINGO ESTRADA TELETOR,MARLEN ROSSANA MORALES PÉREZ,BASICO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA NORTE
00-01-0222-45,01-01-0035,CIUDAD CAPITAL,ZONA 1,"COLEGIO ""SANTA MONICA""",10A CALLE 11-41,22329121,NORMA ARACELY PALOMO FRANCO DE DÍAZ,MARTHA MIRIELA LEMUS AROCHE,BASICO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA NORTE
00-01-0223-45,01-01-0028,CIUDAD CAPITAL,ZONA 1,COLEGIO EL ROSARIO,15 CALLE A 2-74,22320361,AMADO SALOMON FLORES PEREZ,TERESITA BEATRIZ HARANZEN QUINTEROS,BASICO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA NORTE
00-01-0224-45,01-312,CIUDAD CAPITAL,ZONA 1,COLEGIO 'EUROPEO',11 CALLE 3-38,22325512,AMADO SALOMON FLORES PEREZ,---,BASICO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA NORTE
00-01-0225-45,01-01-0035,CIUDAD CAPITAL,ZONA 1,COLEGIO 'COMERCIAL GUATEMALTECO',10A CALLE 11-44,22534824,NORMA ARACELY PALOMO FRANCO DE DÍAZ,CHARLOTTE ANN AFRE PYATT,BASICO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA NORTE
00-01-0226-45,01-01-0044,CIUDAD CAPITAL,ZONA 1,COLEGIO BELGA GUATEMALTECO,9A CALLE 10-38,23148300,MARIANO DOMINGO ESTRADA TELETOR,DULCE MARÍA CHÁVEZ MELCHOR,BASICO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA NORTE
00-01-0227-45,01-317,CIUDAD CAPITAL,ZONA 1,"COLEGIO DE SEÑORITAS ""EL SAGRADO CORAZON""",9A AVE. 13-57,24237900,MARIANO DOMINGO ESTRADA TELETOR,FLOR DE MARÍA MEDINA ESTRADA,BASICO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA NORTE
00-01-0228-45,01-312,CIUDAD CAPITAL,ZONA 1,'LICEO MODERNO',13 CALLE 2-74,22327624,AMADO SALOMON FLORES PEREZ,,BASICO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA NORTE
00-01-0229-45,01-316,CIUDAD CAPITAL,ZONA 1,COLEGIO MIXTO NOCTURNO 'MAESTRO AMIGO',8A CALLE 0-41,22516034,LILIAN YOLANDA RODRIGUEZ PINTO DE CASTRO,,BASICO,PRIVADO,URBANA,CERRADA DEFINITIVAMENTE,MONOLINGUE,NOCTURNA,DIARIO(REGULAR),GUATEMALA NORTE
00-01-0230-45,01-305,CIUDAD CAPITAL,ZONA 1,INSTITUTO 'BILINGUE GUATEMALTECO',6A AVE. 2-34,22381144,CELESTINA ARLETTY HERNÁNDEZ AGUILAR,,BASICO,PRIVADO,URBANA,CERRADA DEFINITIVAMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA NORTE
00-01-0231-45,01-305,CIUDAD CAPITAL,ZONA 1,COLEGIO TECNICO COMERCIAL NAHUALA,3A. AVENIDA 13-23,22329664,CELESTINA ARLETTY HERNÁNDEZ AGUILAR,OVIDIO LISANDRO OROZCO LOPEZ,BASICO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA NORTE
00-01-0232-45,01-307,CIUDAD CAPITAL,ZONA 1,IPMB COLEGIO 'EL PATRIARCA SAN JOSE',12 CALLE A 11-26,22327921,NORMA ARACELY PALOMO FRANCO DE DIAZ,,BASICO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA NORTE
