0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
CODIGO,DISTRITO,DEPARTAMENTO,MUNICIPIO,ESTABLECIMIENTO,DIRECCION,TELEFONO,SUPERVISOR,DIRECTOR,NIVEL,SECTOR,AREA,STATUS,MODALIDAD,JORNADA,PLAN,DEPARTAMENTAL
00-01-0057-43,,CIUDAD CAPITAL,ZONA 1,EOUV 'SIMON BOLIVAR',13 CALLE A 3-45,22206956,,,PRIMARIA,OFICIAL,URBANA,CERRADA DEFINITIVAMENTE,MONOLINGUE,NOCTURNA,DIARIO(REGULAR),GUATEMALA NORTE
00-01-0058-43,01-01-0044,CIUDAD CAPITAL,ZONA 1,ESCUELA DE NIÑOS NO.3 CAYETANO FRANCOS Y MONROY,15 CALLE 11-12,22514261,MARIANO DOMINGO ESTRADA TELETOR,KARIN ALEJANDRINA RODRIGUEZ CHILEL,PRIMARIA,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA NORTE
00-01-0059-43,01-01-0030,CIUDAD CAPITAL,ZONA 1,"EOUV NO.27 ""REPUBLICA DE BRASIL""","3A . AVENIDA ""C"" 24-01,",22519812,NORMA ARACELY PALOMO FRANCO DE DÍAZ,WERNER MAURICIO SALAZAR DAVILA,PRIMARIA,OFICIAL,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),GUATEMALA NORTE
00-01-0060-43,,CIUDAD CAPITAL,ZONA 1,EOUV 'RAFAEL AYAU',3 AV. 1-46,22320963,,,PRIMARIA,OFICIAL,URBANA,CERRADA DEFINITIVAMENTE,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),GUATEMALA NORTE
00-01-0061-43,01-101,CIUDAD CAPITAL,ZONA 1,EOUV NO.17 REPUBLICA DE PANAMA,9A CALLE 3-19,,YENI XIOMARA CRÚZ SARCEÑO,,PRIMARIA,OFICIAL,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA NORTE
00-01-0062-43,,CIUDAD CAPITAL,ZONA 1,EOUV NO.12 'SERAPIO CRUZ',5A CALLE 10-23,22320295,,,PRIMARIA,OFICIAL,URBANA,CERRADA DEFINITIVAMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA NORTE
00-01-0063-43,01-01-0030,CIUDAD CAPITAL,ZONA 1,"EOUV NO.2 ""REPUBLICA DE COSTA RICA""",14 CALLE 14-70,22203459,NORMA ARACELY PALOMO FRANCO DE DÍAZ,INGRID NOHEMI AGUILAR MARTÍNEZ,PRIMARIA,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA NORTE
00-01-0064-43,01-01-0035,CIUDAD CAPITAL,ZONA 1,"EOUV NO.9 ""LUCAS TOMAS COJULUN""",13 AVENIDA 4-78,22511678,NORMA ARACELY PALOMO FRANCO DE DÍAZ,CLAUDÍA MÓNICA GAITÁN RODRÍGUEZ,PRIMARIA,OFICIAL,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),GUATEMALA NORTE
00-01-0065-43,01-01-0044,CIUDAD CAPITAL,ZONA 1,ESCUELA OFICIAL NO. 35 'JOSE CECILIO DEL VALLE',15 CALLE 11-12,41135667,MARIANO DOMINGO ESTRADA TELETOR,ANA ESPERANZA DE LEÓN SEM,PRIMARIA,OFICIAL,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),GUATEMALA NORTE
00-01-0066-43,01-01-0035,CIUDAD CAPITAL,ZONA 1,"ESCUELA OFICIAL PARA NIÑAS NO .45 ""RAFAEL AYAU""",14 AVENIDA 3-37,22532454,NORMA ARACELY PALOMO FRANCO DE DÍAZ,MAYRA GUISELA AGUILAR DÁVILA,PRIMARIA,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA NORTE
00-01-0067-43,01-01-0035,CIUDAD CAPITAL,ZONA 1,EOUN NO.5 MIGUEL GARCIA GRANADOS,13 AVENIDA 4-78,22538664,NORMA ARACELY PALOMO FRANCO DE DÍAZ,ALMA LIZETH RODRIGUEZ ARRIOLA,PRIMARIA,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA NORTE
00-01-0068-43,,CIUDAD CAPITAL,ZONA 1,EOUN NO.27 'REPUBLICA DE VENEZUELA',12 CALLE 18-09 ZONA 21 NIMAJUYU,,,,PRIMARIA,OFICIAL,URBANA,CERRADA DEFINITIVAMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA NORTE
00-01-0069-43,,CIUDAD CAPITAL,ZONA 1,EOUN NO.19 'VICENTE RIVAS',23 CALLE 1-42,22533566,,,PRIMARIA,OFICIAL,URBANA,CERRADA DEFINITIVAMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA NORTE
00-01-0070-43,01-01-0044,CIUDAD CAPITAL,ZONA 1,ESCUELA DE NIÑAS NO. 10 'MANUEL CABRAL',14 CALLE 12-71,22214890,MARIANO DOMINGO ESTRADA TELETOR,OLGA MARINA QUEVEDO,PRIMARIA,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA NORTE
00-01-0071-43,01-01-0044,CIUDAD CAPITAL,ZONA 1,"EOUN NO.67 ""APLICACION DE BELEN""",13 CALLE 10-59,52725065,MARIANO DOMINGO ESTRADA TELETOR,DORA ANDREA RODRÍGUEZ RODAS,PRIMARIA,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA NORTE
00-01-0072-43,01-01-0044,CIUDAD CAPITAL,ZONA 1,EOUN NO.3 DOLORES BEDOYA DE MOLINA,7A. AVENIDA 13-73,22329943,MARIANO DOMINGO ESTRADA TELETOR,FLORIDALMA NINETH AGUIRRE AGUIRRE,PRIMARIA,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA NORTE
00-01-0073-43,,CIUDAD CAPITAL,ZONA 1,EOUN NO.15 'REPUBLICA DE CUBA',14 CALLE 'B' 5-36 ZONA 1,22382059,,,PRIMARIA,OFICIAL,URBANA,CERRADA DEFINITIVAMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA NORTE
00-01-0074-43,01-01-0028,CIUDAD CAPITAL,ZONA 1,EOUM NO.82 'DR. CARLOS MONZON MALICE',"AVE. ELENA Y 12 CALLE, DEPTO. DE PEDIATRIA HOSPITAL GENERAL",22539989,AMADO SALOMON FLORES PEREZ,FLOR DE MARÍA GAITÁN CONTRERAS,PRIMARIA,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA NORTE
