0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
CODIGO,DISTRITO,DEPARTAMENTO,MUNICIPIO,ESTABLECIMIENTO,DIRECCION,TELEFONO,SUPERVISOR,DIRECTOR,NIVEL,SECTOR,AREA,STATUS,MODALIDAD,JORNADA,PLAN,DEPARTAMENTAL
06-01-0006-43,06-01-0302,SANTA ROSA,CUILAPA,EOUM TIPO FEDERACION DOMINGO FAUSTINO SARMIENTO,"4A. CALLE 4-03 ZONA 4, BARRIO EL LLANITO",78429627,IRMA YOLANDA CHACÓN ARROYO,JULIO HILARIO SÁNCHEZ CARRILLO,PRIMARIA,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SANTA ROSA
06-01-0007-43,06-01-0302,SANTA ROSA,CUILAPA,EOUM TIPO FEDERACION DOMINGO FAUSTINO SARMIENTO,BARRIO EL LLANITO,55124030,IRMA YOLANDA CHACÓN ARROYO,ELISA REBECA MARTÍNEZ ROCA,PRIMARIA,OFICIAL,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),SANTA ROSA
06-01-0008-43,06-01-0303,SANTA ROSA,CUILAPA,EORM,PARCELAMIENTO LA CUARENTISEIS,54904255,SINTYA MARISELA JUAREZ LOPEZ DE POSADAS,LESTER IVAN DIVAS REYNA,PRIMARIA,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SANTA ROSA
06-01-0009-43,06-01-0302,SANTA ROSA,CUILAPA,EOUM VICTOR MANUEL MONTERROSO GRANADOS,BARRIO EL CALVARIO,78865221,IRMA YOLANDA CHACÓN ARROYO,HEINER JOSUÉ GARCÍA REVOLORIO,PRIMARIA,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SANTA ROSA
06-01-0010-43,06-01-0304,SANTA ROSA,CUILAPA,EORM,CASERÍO LAGUNA DE SAN JOSE,56309755,WANGNER VIRGILIO GONZALEZ RUANO,ELBA MARIBEL LÉMUS CASTELLANOS,PRIMARIA,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SANTA ROSA
06-01-0011-43,06-01-0304,SANTA ROSA,CUILAPA,EORM,ALDEA PLAN DEL AMATE,37357594,WANGNER VIRGILIO GONZALEZ RUANO,MARIA ELIDA HERNÁNDEZ AGUILAR,PRIMARIA,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SANTA ROSA
06-01-0012-43,06-01-0304,SANTA ROSA,CUILAPA,EORM,ALDEA PLAN DE AVILA,58790776,WANGNER VIRGILIO GONZALEZ RUANO,HEIDY XIOMARA MELÉNDEZ SANTANA,PRIMARIA,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SANTA ROSA
06-01-0013-43,06-01-0304,SANTA ROSA,CUILAPA,EORM,ALDEA CUESTA GRANDE,54759000,WANGNER VIRGILIO GONZALEZ RUANO,ESVIN ARSENIO MONTERROSO VÉLIZ,PRIMARIA,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SANTA ROSA
06-01-0014-43,06-01-0302,SANTA ROSA,CUILAPA,EORM,ALDEA LAGUNA SECA,47054480,IRMA YOLANDA CHACÓN ARROYO,WENDY PATRICIA SANTANA RUIZ,PRIMARIA,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SANTA ROSA
06-01-0015-43,06-01-0302,SANTA ROSA,CUILAPA,EORM,ALDEA EL PINITO,49595059,IRMA YOLANDA CHACÓN ARROYO,JUANA REBECA CASTILLO HERRARTE,PRIMARIA,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SANTA ROSA
06-01-0016-43,06-01-0303,SANTA ROSA,CUILAPA,EORM,ALDEA MONTECILLOS,35663544,SINTYA MARISELA JUAREZ LOPEZ DE POSADAS,LESLI DALILA PALACIOS CARRILLO,PRIMARIA,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SANTA ROSA
06-01-0017-43,06-01-0302,SANTA ROSA,CUILAPA,EORM,ALDEA JOYA DE LIMON,56333444,IRMA YOLANDA CHACÓN ARROYO,ANA VERONICA RODAS ROJAS,PRIMARIA,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SANTA ROSA
06-01-0018-43,06-01-0305,SANTA ROSA,CUILAPA,EORM,ALDEA LOS MATOCHOS,41131528,DOMINGO ANTONIO LÓPEZ TICÚN,DAVID DE LA CRUZ BENITO,PRIMARIA,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SANTA ROSA
06-01-0019-43,06-01-0305,SANTA ROSA,CUILAPA,EORM,ALDEA BARILLAS,47907037,DOMINGO ANTONIO LÓPEZ TICÚN,EVA LEONOR TUNCHEZ DE PAZ,PRIMARIA,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SANTA ROSA
